,id_federation,nom_federation
0,101,Fédération Française d'Athlétisme
1,102,Fédération Française d'Aviron
2,103,Fédération Française de Badminton
3,105,Fédération Française de Basketball
4,106,Fédération Française de Boxe
5,107,Fédération Française de Canoë-Kayak et Sports de Pagaie
6,108,Fédération Française de Cyclisme
7,109,Fédération Française d'Équitation
8,110,Fédération Française d'Escrime
9,111,Fédération Française de Football
10,112,Fédération Française des Sports de Glace
11,113,Fédération Française de Gymnastique
12,114,"Fédération Française d'Haltérophilie, Musculation"
13,115,Fédération Française de Handball
14,116,Fédération Française de Hockey
15,117,"Fédération Française de Judo, Jujitsu, Kendo et Disciplines Associées"
16,118,Fédération Française de Lutte
17,119,Fédération Française de Natation
18,120,Fédération Française de Pentathlon Moderne
19,121,Fédération Française de Ski
20,122,Fédération Française de Taekwondo et Disciplines Associées
21,123,Fédération Française de Tennis
22,124,Fédération Française de Tennis de Table
23,125,Fédération Française de Tir
24,126,Fédération Française de Tir à l'Arc
25,127,Fédération Française de Triathlon et Disciplines Enchainées
26,128,Fédération Française de Voile
27,129,Fédération Française de Volley
28,131,Fédération Française de Hockey sur Glace
29,132,Fédération Française de Golf
30,133,Fédération Française de Rugby
31,135,Fédération Française de la Montagne et de l'Escalade
32,136,Fédération Française de Roller et Skateboard
33,137,Fédération Française de Surf
34,138,"Fédération Française de Baseball, Softball"
35,140,Fédération Française de Football Américain
36,141,Fédération Française de Squash
