medal_type,medal_code,athlete_name,athlete_sex,event,country,discipline,season
Gold,1,ECKHOFF Tiril,X,Mixed Relay 4x6km (W+M),Norway,Biathlon,Winter
Gold,1,ROEISELAND Marte Olsbu,X,Mixed Relay 4x6km (W+M),Norway,Biathlon,Winter
Gold,1,BOE Tarjei,X,Mixed Relay 4x6km (W+M),Norway,Biathlon,Winter
Gold,1,BOE Johannes Thingnes,X,Mixed Relay 4x6km (W+M),Norway,Biathlon,Winter
Silver,2,CHEVALIER-BOUCHET Anais,X,Mixed Relay 4x6km (W+M),France,Biathlon,Winter
Silver,2,FILLON MAILLET Quentin,X,Mixed Relay 4x6km (W+M),France,Biathlon,Winter
Silver,2,JACQUELIN Emilien,X,Mixed Relay 4x6km (W+M),France,Biathlon,Winter
Silver,2,SIMON Julia,X,Mixed Relay 4x6km (W+M),France,Biathlon,Winter
Bronze,3,NIGMATULLINA Uliana,X,Mixed Relay 4x6km (W+M),ROC,Biathlon,Winter
Bronze,3,REZTSOVA Kristina,X,Mixed Relay 4x6km (W+M),ROC,Biathlon,Winter
Bronze,3,LATYPOV Eduard,X,Mixed Relay 4x6km (W+M),ROC,Biathlon,Winter
Bronze,3,LOGINOV Alexander,X,Mixed Relay 4x6km (W+M),ROC,Biathlon,Winter
Gold,1,JOHAUG Therese,W,Women's 7.5km + 7.5km Skiathlon,Norway,Cross-Country Skiing,Winter
Silver,2,NEPRYAEVA Natalia,W,Women's 7.5km + 7.5km Skiathlon,ROC,Cross-Country Skiing,Winter
Bronze,3,STADLOBER Teresa,W,Women's 7.5km + 7.5km Skiathlon,Austria,Cross-Country Skiing,Winter
Gold,1,WALLBERG Walter,M,Men's Moguls,Sweden,Freestyle Skiing,Winter
Silver,2,KINGSBURY Mikael,M,Men's Moguls,Canada,Freestyle Skiing,Winter
Bronze,3,HORISHIMA Ikuma,M,Men's Moguls,Japan,Freestyle Skiing,Winter
Gold,1,WU Dajing,X,Mixed Team Relay,People's Republic of China,Short Track Speed Skating,Winter
Gold,1,REN Ziwei,X,Mixed Team Relay,People's Republic of China,Short Track Speed Skating,Winter
Gold,1,ZHANG Yuting,X,Mixed Team Relay,People's Republic of China,Short Track Speed Skating,Winter
Gold,1,QU Chunyu,X,Mixed Team Relay,People's Republic of China,Short Track Speed Skating,Winter
Gold,1,FAN Kexin,X,Mixed Team Relay,People's Republic of China,Short Track Speed Skating,Winter
Silver,2,VALCEPINA Martina,X,Mixed Team Relay,Italy,Short Track Speed Skating,Winter
Silver,2,FONTANA Arianna,X,Mixed Team Relay,Italy,Short Track Speed Skating,Winter
Silver,2,VALCEPINA Arianna,X,Mixed Team Relay,Italy,Short Track Speed Skating,Winter
Silver,2,CASSINELLI Andrea,X,Mixed Team Relay,Italy,Short Track Speed Skating,Winter
Silver,2,CONFORTOLA Yuri,X,Mixed Team Relay,Italy,Short Track Speed Skating,Winter
Silver,2,SIGHEL Pietro,X,Mixed Team Relay,Italy,Short Track Speed Skating,Winter
Bronze,3,JASZAPATI Petra,X,Mixed Team Relay,Hungary,Short Track Speed Skating,Winter
Bronze,3,KONYA Zsofia,X,Mixed Team Relay,Hungary,Short Track Speed Skating,Winter
Bronze,3,KRUEGER John-Henry,X,Mixed Team Relay,Hungary,Short Track Speed Skating,Winter
Bronze,3,LIU Shaoang,X,Mixed Team Relay,Hungary,Short Track Speed Skating,Winter
Bronze,3,LIU Shaolin Sandor,X,Mixed Team Relay,Hungary,Short Track Speed Skating,Winter
Gold,1,BOGATAJ Ursa,W,Women's Normal Hill Individual,Slovenia,Ski Jumping,Winter
Silver,2,ALTHAUS Katharina,W,Women's Normal Hill Individual,Germany,Ski Jumping,Winter
Bronze,3,KRIZNAR Nika,W,Women's Normal Hill Individual,Slovenia,Ski Jumping,Winter
Gold,1,SCHOUTEN Irene,W,Women's 3000m,Netherlands,Speed Skating,Winter
Silver,2,LOLLOBRIGIDA Francesca,W,Women's 3000m,Italy,Speed Skating,Winter
Bronze,3,WEIDEMANN Isabelle,W,Women's 3000m,Canada,Speed Skating,Winter
Gold,1,BOLSHUNOV Alexander,M,Men's 15km + 15km Skiathlon,ROC,Cross-Country Skiing,Winter
Silver,2,SPITSOV Denis,M,Men's 15km + 15km Skiathlon,ROC,Cross-Country Skiing,Winter
Bronze,3,NISKANEN Iivo,M,Men's 15km + 15km Skiathlon,Finland,Cross-Country Skiing,Winter
Gold,1,ANTHONY Jakara,W,Women's Moguls,Australia,Freestyle Skiing,Winter
Silver,2,KAUF Jaelin,W,Women's Moguls,United States of America,Freestyle Skiing,Winter
Bronze,3,SMIRNOVA Anastasiia,W,Women's Moguls,ROC,Freestyle Skiing,Winter
Gold,1,LUDWIG Johannes,M,Men's Singles,Germany,Luge,Winter
Silver,2,KINDL Wolfgang,M,Men's Singles,Austria,Luge,Winter
Bronze,3,FISCHNALLER Dominik,M,Men's Singles,Italy,Luge,Winter
Gold,1,KOBAYASHI Ryoyu,M,Men's Normal Hill Individual,Japan,Ski Jumping,Winter
Silver,2,FETTNER Manuel,M,Men's Normal Hill Individual,Austria,Ski Jumping,Winter
Bronze,3,KUBACKI Dawid,M,Men's Normal Hill Individual,Poland,Ski Jumping,Winter
Gold,1,SADOWSKI SYNNOTT Zoi,W,Women's Snowboard Slopestyle,New Zealand,Snowboard,Winter
Silver,2,MARINO Julia,W,Women's Snowboard Slopestyle,United States of America,Snowboard,Winter
Bronze,3,COADY Tess,W,Women's Snowboard Slopestyle,Australia,Snowboard,Winter
